Query,Response,neg,neu,pos,compound
take me to a nice restaurant not to mcdonalds,but a nice restaurant costs money,0.0,0.714,0.286,0.4215
but a nice restaurant costs money,yes and you have to make a reservation,0.0,0.519,0.481,0.5719
yes and you have to make a reservation,thats such a hassle,0.0,0.69,0.31,0.4019
thats such a hassle,i knew you didnt love me,0.0,1.0,0.0,0.0
i knew you didnt love me,okay okay ill make a reservation right now,0.457,0.543,0.0,-0.5216
my parents are divorced,so are mine,0.0,1.0,0.0,0.0
so are mine,why did your parents get divorced,0.0,1.0,0.0,0.0
why did your parents get divorced,my father found a new girlfriend,0.0,1.0,0.0,0.0
my father found a new girlfriend,thats too bad,0.0,1.0,0.0,0.0
thats too bad,my mother was hurt and angry,0.636,0.364,0.0,-0.5423
my mother was hurt and angry,she had good reason what did she do,0.626,0.374,0.0,-0.7717
she had good reason what did she do,she told him to drop his girlfriend,0.0,0.707,0.293,0.4404
she told him to drop his girlfriend,what did your father do,0.259,0.741,0.0,-0.2732
what did your father do,he moved out of our house,0.0,1.0,0.0,0.0
he moved out of our house,i guess he really liked his new girlfriend,0.0,1.0,0.0,0.0
i guess he really liked his new girlfriend,yes but she left him a year later,0.0,0.66,0.34,0.4754
my grandmas apartment smells funny,so does mine,0.0,0.58,0.42,0.4404
so does mine,i think its an old peoples smell,0.0,1.0,0.0,0.0
i think its an old peoples smell,really,0.0,1.0,0.0,0.0
really,yes i think when you get old you begin to smell,0.0,1.0,0.0,0.0
yes i think when you get old you begin to smell,like fruit that is too ripe,0.0,0.769,0.231,0.4019
like fruit that is too ripe,yes just like fruit that is too ripe,0.0,0.667,0.333,0.3612
yes just like fruit that is too ripe,but the smell is different,0.0,0.536,0.464,0.6369
but the smell is different,yes old people dont smell like fruit,0.0,1.0,0.0,0.0
yes old people dont smell like fruit,no they smell like a thrift shop,0.215,0.51,0.275,0.1506
no they smell like a thrift shop,yes a thrift shop has that same smell,0.253,0.46,0.287,0.0772
yes a thrift shop has that same smell,yes an old smell,0.0,0.69,0.31,0.4019
the price of stamps goes up and up,i think stamps used to cost a penny,0.0,1.0,0.0,0.0
i think stamps used to cost a penny,that was a long time ago,0.0,1.0,0.0,0.0
that was a long time ago,it was before i was born,0.0,1.0,0.0,0.0
it was before i was born,now a stamp is cents,0.0,1.0,0.0,0.0
now a stamp is cents,but in may it will be cents,0.0,1.0,0.0,0.0
but in may it will be cents,have you ever lost a letter in the mail,0.0,1.0,0.0,0.0
have you ever lost a letter in the mail,no i havent,0.247,0.753,0.0,-0.3182
no i havent,neither have i,0.688,0.312,0.0,-0.296
neither have i,so they do a good job for the money,0.0,1.0,0.0,0.0
so they do a good job for the money,yes they do,0.0,0.689,0.311,0.4877
yes they do,maybe we shouldnt complain,0.0,0.426,0.574,0.4019
a button came off my shirt,what are you going to do,0.0,1.0,0.0,0.0
what are you going to do,first i have to find the button,0.0,1.0,0.0,0.0
first i have to find the button,where did you lose it,0.0,1.0,0.0,0.0
where did you lose it,i have no idea,0.403,0.597,0.0,-0.4019
i have no idea,a button is hard to find did you look in your pant cuffs,0.524,0.476,0.0,-0.296
a button is hard to find did you look in your pant cuffs,thats a good idea,0.113,0.887,0.0,-0.1027
thats a good idea,i found a button in my pant cuffs one time,0.0,0.408,0.592,0.4404
i found a button in my pant cuffs one time,let me look no its not there,0.0,1.0,0.0,0.0
let me look no its not there,many shirts come with an extra button,0.268,0.732,0.0,-0.296
many shirts come with an extra button,youre right this one does have an extra button,0.0,1.0,0.0,0.0
youre right this one does have an extra button,now all you have to do is sew it on,0.0,1.0,0.0,0.0
i have to go to the bathroom,you drink too much coffee,0.0,1.0,0.0,0.0
you drink too much coffee,but i love coffee,0.0,1.0,0.0,0.0
but i love coffee,well its your life,0.0,0.256,0.744,0.7783
well its your life,you eat too much chocolate,0.0,0.588,0.412,0.2732
you eat too much chocolate,i dont think so,0.0,1.0,0.0,0.0
i dont think so,have you looked in the mirror,0.0,1.0,0.0,0.0
have you looked in the mirror,do you think im getting fat,0.0,1.0,0.0,0.0
do you think im getting fat,i didnt say that,0.0,1.0,0.0,0.0
i didnt say that,what did you say,0.0,1.0,0.0,0.0
what did you say,i said i have to go to the bathroom,0.0,1.0,0.0,0.0
i said i have to go to the bathroom,thats what i thought you said,0.0,1.0,0.0,0.0
did you do the laundry,yes i did,0.0,1.0,0.0,0.0
yes i did,what did you wash,0.0,0.27,0.73,0.4019
what did you wash,i washed the sheets and towels,0.0,1.0,0.0,0.0
i washed the sheets and towels,what about the pillowcases,0.0,1.0,0.0,0.0
what about the pillowcases,yes i took them off the pillows and washed them,0.0,1.0,0.0,0.0
yes i took them off the pillows and washed them,did you dry everything in the dryer,0.0,0.748,0.252,0.4019
did you dry everything in the dryer,yes i dried everything in the dryer,0.0,1.0,0.0,0.0
yes i dried everything in the dryer,then what did you do,0.0,0.649,0.351,0.4019
then what did you do,i folded all the towels,0.0,1.0,0.0,0.0
i folded all the towels,did you put the sheets on the beds,0.0,1.0,0.0,0.0
did you put the sheets on the beds,yes and i put the pillowcases on the pillows,0.0,1.0,0.0,0.0
do you listen to the radio,i listen day and night,0.0,1.0,0.0,0.0
i listen day and night,what do you listen to,0.0,1.0,0.0,0.0
what do you listen to,mostly talk radio,0.0,1.0,0.0,0.0
mostly talk radio,whats that,0.0,1.0,0.0,0.0
whats that,people talk about current events,0.0,1.0,0.0,0.0
people talk about current events,what do they say,0.0,1.0,0.0,0.0
what do they say,they say they want change,0.0,1.0,0.0,0.0
they say they want change,what kind of change,0.0,0.755,0.245,0.0772
what kind of change,they want tax cuts,0.0,1.0,0.0,0.0
they want tax cuts,why do they want tax cuts,0.4,0.364,0.236,-0.2263
why do they want tax cuts,because tax cuts will save them money,0.293,0.533,0.173,-0.2263
mom im hungry,look in the fridge,0.0,1.0,0.0,0.0
look in the fridge,im looking theres nothing to eat,0.0,1.0,0.0,0.0
im looking theres nothing to eat,are you sure,0.0,1.0,0.0,0.0
are you sure,its almost empty,0.0,0.465,0.535,0.3182
its almost empty,i went to the market yesterday,0.43,0.57,0.0,-0.1298
i went to the market yesterday,i dont see anything,0.0,1.0,0.0,0.0
i dont see anything,i bought lots of oranges and apples,0.0,1.0,0.0,0.0
i bought lots of oranges and apples,i dont want fruit i want something tasty,0.0,1.0,0.0,0.0
i dont want fruit i want something tasty,eat the fruit its good for you,0.379,0.621,0.0,-0.1139
eat the fruit its good for you,next time you go to the market let me go with you,0.0,0.674,0.326,0.4404
next time you go to the market let me go with you,no thank you all you want to eat are hot dogs and candy bars,0.0,1.0,0.0,0.0
what is there to eat,i dont know look in the fridge,0.0,1.0,0.0,0.0
i dont know look in the fridge,i think ill make a sandwich,0.0,1.0,0.0,0.0
i think ill make a sandwich,what kind,0.0,1.0,0.0,0.0
what kind,a ham sandwich,0.0,0.227,0.773,0.5267
a ham sandwich,the bread is in the cabinet,0.0,1.0,0.0,0.0
the bread is in the cabinet,wheres the mustard,0.0,1.0,0.0,0.0
wheres the mustard,its in the fridge i think,0.0,1.0,0.0,0.0
its in the fridge i think,oh yes here it is do you want a sandwich,0.0,1.0,0.0,0.0
oh yes here it is do you want a sandwich,yes that sounds nice,0.0,0.636,0.364,0.4588
yes that sounds nice,how about some potato chips,0.0,0.267,0.733,0.6705
how about some potato chips,yes and a pickle if we have any,0.0,1.0,0.0,0.0
its time for your bath young lady,but mom im not dirty,0.0,1.0,0.0,0.0
but mom im not dirty,you need a bath every day,0.0,0.563,0.437,0.4782
you need a bath every day,why,0.0,1.0,0.0,0.0
why,because you dont want to smell bad,0.0,1.0,0.0,0.0
because you dont want to smell bad,i dont smell bad,0.486,0.514,0.0,-0.575
i dont smell bad,thats what you think,0.0,0.412,0.588,0.431
thats what you think,if i smelled bad i could smell me,0.0,1.0,0.0,0.0
if i smelled bad i could smell me,i can smell you,0.412,0.588,0.0,-0.5423
i can smell you,i can smell you too,0.0,1.0,0.0,0.0
i can smell you too,thats my perfume,0.0,1.0,0.0,0.0
thats my perfume,when can i wear perfume,0.0,1.0,0.0,0.0
somethings wrong with my computer,exactly what,0.437,0.563,0.0,-0.4767
exactly what,all i get is a black screen,0.0,1.0,0.0,0.0
all i get is a black screen,whats the matter,0.0,1.0,0.0,0.0
whats the matter,i think i know because this happened before,0.0,0.645,0.355,0.0258
i think i know because this happened before,what happened before,0.0,1.0,0.0,0.0
what happened before,my hard drive crashed,0.0,1.0,0.0,0.0
my hard drive crashed,oh no thats bad news,0.318,0.682,0.0,-0.1027
oh no thats bad news,it sure is but im going to call hp first just to make sure,0.655,0.345,0.0,-0.6908
it sure is but im going to call hp first just to make sure,will you lose all your files,0.0,0.723,0.277,0.5574
will you lose all your files,no i always back up my files,0.351,0.649,0.0,-0.4019
no i always back up my files,youre smart,0.306,0.694,0.0,-0.296
i called hp about my computer,what did they say,0.0,1.0,0.0,0.0
what did they say,they said i need a new hard drive,0.0,1.0,0.0,0.0
they said i need a new hard drive,thats too bad how much is a new one,0.219,0.781,0.0,-0.1027
thats too bad how much is a new one,its not too much only about,0.333,0.667,0.0,-0.5423
its not too much only about,plus installation,0.0,1.0,0.0,0.0
plus installation,no my hard drive is easy to remove and replace,0.0,1.0,0.0,0.0
no my hard drive is easy to remove and replace,really,0.267,0.519,0.215,0.0772
really,yes its just a couple of screws,0.0,1.0,0.0,0.0
yes its just a couple of screws,thats nice,0.23,0.46,0.31,0.1779
thats nice,its a lot better than paying someone,0.0,0.263,0.737,0.4215
its a lot better than paying someone,if my hard drive crashes ill just call you,0.0,0.674,0.326,0.4404
whats your email address,its,0.0,1.0,0.0,0.0
its,are you sure thats all,0.0,1.0,0.0,0.0
are you sure thats all,yes,0.0,0.685,0.315,0.3182
yes,no thats incomplete,0.0,0.0,1.0,0.4019
no thats incomplete,what do you mean,0.524,0.476,0.0,-0.296
what do you mean,whats your mailing address,0.0,1.0,0.0,0.0
whats your mailing address,cherry drive pasadena ca,0.0,1.0,0.0,0.0
cherry drive pasadena ca,thats correct,0.0,1.0,0.0,0.0
thats correct,so whats the problem,0.0,1.0,0.0,0.0
so whats the problem,is just the street you have to give me the city state and zip code,0.497,0.503,0.0,-0.4522
is just the street you have to give me the city state and zip code,oh i get it my email address is yahoocom,0.0,1.0,0.0,0.0
im going to take a nap,you should unplug the phone,0.0,1.0,0.0,0.0
you should unplug the phone,thats a good idea,0.0,1.0,0.0,0.0
thats a good idea,do you want me to wake you in an hour,0.0,0.408,0.592,0.4404
do you want me to wake you in an hour,no thanks just let me sleep until i wake up,0.0,0.874,0.126,0.0772
no thanks just let me sleep until i wake up,ill start dinner at,0.182,0.579,0.24,0.1779
ill start dinner at,okay i think ill be awake by then,0.0,1.0,0.0,0.0
okay i think ill be awake by then,if not your nose will wake you up,0.0,0.759,0.241,0.2263
if not your nose will wake you up,you mean i will smell the food cooking,0.0,1.0,0.0,0.0
you mean i will smell the food cooking,you might even dream about dinner,0.0,1.0,0.0,0.0
you might even dream about dinner,i dont think im going to dream about anything im really tired,0.0,0.714,0.286,0.25
i dont think im going to dream about anything im really tired,have a nice nap,0.225,0.634,0.141,-0.2944
that was a nice funeral,yes dad it was,0.342,0.274,0.384,0.0772
yes dad it was,the son gave a nice speech about his father,0.0,0.526,0.474,0.4019
the son gave a nice speech about his father,it was long too,0.0,0.714,0.286,0.4215
it was long too,i think it was about minutes long,0.0,1.0,0.0,0.0
i think it was about minutes long,but it went by fast it was interesting,0.0,1.0,0.0,0.0
but it went by fast it was interesting,i liked it,0.0,0.664,0.336,0.5499
i liked it,ill give you a speech like that too,0.0,0.263,0.737,0.4215
ill give you a speech like that too,do you think anyone will come to my funeral,0.0,0.706,0.294,0.3612
do you think anyone will come to my funeral,of course,0.238,0.762,0.0,-0.3612
of course,i think only the family will be there,0.0,1.0,0.0,0.0
i think only the family will be there,you have lots of friends they will be there too,0.0,1.0,0.0,0.0
yikes what was that noise,i had to blow my nose,0.0,1.0,0.0,0.0
i had to blow my nose,did you have to blow right next to the phone,0.0,1.0,0.0,0.0
did you have to blow right next to the phone,did you hear that,0.0,1.0,0.0,0.0
did you hear that,of course i heard that i thought a plane had crashed into your house,0.0,1.0,0.0,0.0
of course i heard that i thought a plane had crashed into your house,it wasnt that loud,0.0,1.0,0.0,0.0
it wasnt that loud,i will blow my nose sometime for you and youll see,0.0,1.0,0.0,0.0
i will blow my nose sometime for you and youll see,okay ill take your word for it,0.0,1.0,0.0,0.0
okay ill take your word for it,i thought you had an elephant in your house,0.0,0.759,0.241,0.2263
i thought you had an elephant in your house,youre funny,0.0,1.0,0.0,0.0
youre funny,what did you say i think ive gone deaf,0.0,0.256,0.744,0.4404
what did you say i think ive gone deaf,im going into the bathroom to blow my nose ill be right back,0.0,1.0,0.0,0.0
i have lots of friends,really how many do you have,0.0,0.492,0.508,0.4767
really how many do you have,i dont know maybe one hundred,0.0,1.0,0.0,0.0
i dont know maybe one hundred,that is a lot of friends do you have a best friend,0.0,1.0,0.0,0.0
that is a lot of friends do you have a best friend,of course i have lots of best friends,0.0,0.4,0.6,0.8885
of course i have lots of best friends,how many best friends do you have,0.0,0.407,0.593,0.8074
how many best friends do you have,i think about twentyfive,0.0,0.407,0.593,0.8074
i think about twentyfive,hmm i have only one best friend,0.0,1.0,0.0,0.0
hmm i have only one best friend,i feel sorry for you,0.0,0.351,0.649,0.8126
i feel sorry for you,i have only a few friends,0.302,0.698,0.0,-0.0772
i have only a few friends,you must be lonely i will share my friends with you,0.0,0.492,0.508,0.4767
you must be lonely i will share my friends with you,thats very nice of you,0.169,0.473,0.358,0.4215
dont you ever cheat on me,why would i do that,0.0,0.668,0.332,0.357
why would i do that,because men like to cheat,0.0,1.0,0.0,0.0
because men like to cheat,some men do but not me,0.353,0.353,0.294,-0.128
some men do but not me,im watching you,0.0,1.0,0.0,0.0
im watching you,im an open book watch me all you want,0.0,1.0,0.0,0.0
im an open book watch me all you want,if i catch you youll be sorry,0.0,0.86,0.14,0.0772
if i catch you youll be sorry,you wont catch me because i love you im not a cheater,0.206,0.794,0.0,-0.0772
you wont catch me because i love you im not a cheater,i will poke your eyes out,0.0,0.532,0.468,0.7935
i will poke your eyes out,i dont want any other woman,0.0,1.0,0.0,0.0
i dont want any other woman,i will chop your toes off one by one,0.234,0.766,0.0,-0.0572
i will chop your toes off one by one,honey please youre the only woman for me forever i swear it,0.0,1.0,0.0,0.0
i hate to go outside,me too,0.552,0.448,0.0,-0.5719
me too,why do you hate to go outside,0.0,1.0,0.0,0.0
why do you hate to go outside,i meet too many jerks,0.381,0.619,0.0,-0.5719
i meet too many jerks,i agree,0.412,0.588,0.0,-0.2732
i agree,this city is full of jerks,0.0,0.0,1.0,0.3612
this city is full of jerks,rude people are everywhere,0.296,0.704,0.0,-0.2732
rude people are everywhere,but what can you do,0.5,0.5,0.0,-0.4588
but what can you do,you can yell at them,0.0,1.0,0.0,0.0
you can yell at them,and they will yell back at you,0.0,1.0,0.0,0.0
and they will yell back at you,yelling doesnt do any good,0.0,1.0,0.0,0.0
yelling doesnt do any good,no the best thing to do is just stay home,0.376,0.624,0.0,-0.3412
will you look at this form,are you having problems with it,0.0,1.0,0.0,0.0
are you having problems with it,i dont understand some things,0.351,0.649,0.0,-0.4019
i dont understand some things,let me help you,0.0,1.0,0.0,0.0
let me help you,what does mi mean,0.0,0.526,0.474,0.4019
what does mi mean,mi stands for middle initial,0.0,1.0,0.0,0.0
mi stands for middle initial,what does mmddyy mean,0.0,1.0,0.0,0.0
what does mmddyy mean,that means monthdayyear use numbers,0.0,1.0,0.0,0.0
that means monthdayyear use numbers,i dont understand,0.0,1.0,0.0,0.0
i dont understand,for example if your birth date is january write,0.0,1.0,0.0,0.0
for example if your birth date is january write,oh thats simple enough,0.0,1.0,0.0,0.0
oh thats simple enough,always print clearly and fill in the bubbles completely,0.0,1.0,0.0,0.0
lets go to the animal shelter,what do you want to do,0.0,1.0,0.0,0.0
what do you want to do,i want to get a puppy for my son,0.0,0.794,0.206,0.0772
i want to get a puppy for my son,that will make him so happy,0.0,0.822,0.178,0.0772
that will make him so happy,ill get him one of those little dogs,0.0,0.513,0.487,0.6948
ill get him one of those little dogs,one that wont grow up too big,0.0,1.0,0.0,0.0
one that wont grow up too big,and eat too much,0.0,1.0,0.0,0.0
and eat too much,do you know which one he would like,0.0,1.0,0.0,0.0
do you know which one he would like,oh yes i took him there yesterday he showed me one that he really liked,0.0,0.737,0.263,0.3612
oh yes i took him there yesterday he showed me one that he really liked,i bet you had to drag him away,0.0,0.674,0.326,0.6997
i bet you had to drag him away,he wanted to take it home yesterday,0.241,0.759,0.0,-0.2263
he wanted to take it home yesterday,i wonder what hell name it,0.0,1.0,0.0,0.0
whats the weather like,i dont know i just woke up,0.0,0.545,0.455,0.3612
i dont know i just woke up,why dont you look outside,0.0,1.0,0.0,0.0
why dont you look outside,okay it looks like rain,0.0,1.0,0.0,0.0
okay it looks like rain,why do you say that,0.0,0.405,0.595,0.5267
why do you say that,the sky is gray,0.0,1.0,0.0,0.0
the sky is gray,is it raining right now,0.0,1.0,0.0,0.0
is it raining right now,no,0.0,1.0,0.0,0.0
no,how do you know,1.0,0.0,0.0,-0.296
how do you know,the street isnt wet,0.0,1.0,0.0,0.0
the street isnt wet,i have to go shopping today,0.0,1.0,0.0,0.0
i have to go shopping today,youd better take an umbrella,0.0,1.0,0.0,0.0
i cant believe how hot it is,its not even noon yet,0.0,1.0,0.0,0.0
its not even noon yet,that means it will get hotter,0.0,1.0,0.0,0.0
that means it will get hotter,i am dying from the heat,0.0,1.0,0.0,0.0
i am dying from the heat,turn on the air conditioner,0.0,1.0,0.0,0.0
turn on the air conditioner,it doesnt work,0.0,1.0,0.0,0.0
it doesnt work,what happened,0.0,1.0,0.0,0.0
what happened,i dont know,0.0,1.0,0.0,0.0
i dont know,did you call the repairman,0.0,1.0,0.0,0.0
did you call the repairman,of course,0.0,1.0,0.0,0.0
of course,when is he coming,0.0,1.0,0.0,0.0
when is he coming,hes busy he said next week,0.0,1.0,0.0,0.0
ill be glad when winter comes,why is that,0.0,0.625,0.375,0.4588
why is that,because i love the snow,0.0,1.0,0.0,0.0
because i love the snow,yes the snow is fun,0.0,0.417,0.583,0.6369
yes the snow is fun,last year we made a big snowman,0.0,0.333,0.667,0.7184
last year we made a big snowman,how big was it,0.0,1.0,0.0,0.0
how big was it,it was seven feet tall,0.0,1.0,0.0,0.0
it was seven feet tall,how long did it take,0.0,1.0,0.0,0.0
how long did it take,it took us all day,0.0,1.0,0.0,0.0
it took us all day,did you give him a nose,0.0,1.0,0.0,0.0
did you give him a nose,of course we gave him a big carrot for a nose,0.0,1.0,0.0,0.0
of course we gave him a big carrot for a nose,let me help you make one this year,0.0,1.0,0.0,0.0
im going to the bank,what do you need to do,0.0,1.0,0.0,0.0
what do you need to do,i need to withdraw some money,0.0,1.0,0.0,0.0
i need to withdraw some money,how are you going to do that,0.0,1.0,0.0,0.0
how are you going to do that,ill just use the atm,0.0,1.0,0.0,0.0
ill just use the atm,whats that,0.0,1.0,0.0,0.0
whats that,its the automatic teller machine,0.0,1.0,0.0,0.0
its the automatic teller machine,it gives you money,0.0,1.0,0.0,0.0
it gives you money,i just insert my debit card into the machine,0.0,1.0,0.0,0.0
i just insert my debit card into the machine,and it gives you money,0.0,1.0,0.0,0.0
and it gives you money,well it gives me money but its my own money,0.0,1.0,0.0,0.0
well it gives me money but its my own money,oh what good is that i thought it gave you free money,0.0,0.853,0.147,0.1406
did you put the blue bin out on the street,oh no i forgot,0.0,1.0,0.0,0.0
oh no i forgot,well youd better take it out front,0.524,0.476,0.0,-0.296
well youd better take it out front,what time does the recycle truck come by,0.0,0.5,0.5,0.6124
what time does the recycle truck come by,it usually gets here at noon on tuesday which is tomorrow,0.0,1.0,0.0,0.0
it usually gets here at noon on tuesday which is tomorrow,ill just take it out to the street tomorrow morning,0.0,1.0,0.0,0.0
ill just take it out to the street tomorrow morning,oh no you dont,0.0,1.0,0.0,0.0
oh no you dont,what do you mean,0.423,0.577,0.0,-0.296
what do you mean,every morning you get up late and rush off to work late,0.0,1.0,0.0,0.0
every morning you get up late and rush off to work late,do you think ill forget to do it,0.0,1.0,0.0,0.0
do you think ill forget to do it,youll remember to do it but you wont have time to do it,0.213,0.787,0.0,-0.2263
youll remember to do it but you wont have time to do it,okay ill take it out front right now,0.0,1.0,0.0,0.0
are you ready,ready for what,0.0,0.444,0.556,0.3612
ready for what,ready for the big switch,0.0,0.444,0.556,0.3612
ready for the big switch,what are you talking about,0.0,0.615,0.385,0.3612
what are you talking about,the nation is switching to digital tv,0.0,1.0,0.0,0.0
the nation is switching to digital tv,oh of course im ready,0.0,1.0,0.0,0.0
oh of course im ready,did you buy the converter,0.0,0.615,0.385,0.3612
did you buy the converter,no i dont need a converter because i bought a digital tv,0.0,1.0,0.0,0.0
no i dont need a converter because i bought a digital tv,how much was that,0.239,0.761,0.0,-0.296
how much was that,it was only about for a inch screen,0.0,1.0,0.0,0.0
it was only about for a inch screen,does it pick up any digital channels,0.0,1.0,0.0,0.0
does it pick up any digital channels,oh yes i get six korean channels but nothing in english,0.0,1.0,0.0,0.0
people are funny,they sure are,0.0,0.408,0.592,0.4404
they sure are,did you hear about the pilot,0.0,0.465,0.535,0.3182
did you hear about the pilot,the one that stole a small plane,0.0,1.0,0.0,0.0
the one that stole a small plane,yes he stole a plane in canada and flew into the us,0.0,1.0,0.0,0.0
yes he stole a plane in canada and flew into the us,did they catch him,0.0,0.787,0.213,0.4019
did they catch him,yes after two us fighter jets followed him for an hour he landed on a highway,0.0,1.0,0.0,0.0
yes after two us fighter jets followed him for an hour he landed on a highway,did he crash,0.0,0.751,0.249,0.5106
did he crash,no he just landed the plane and walked to a restaurant,0.574,0.426,0.0,-0.4019
no he just landed the plane and walked to a restaurant,did the cops find out why he flew into the us,0.196,0.804,0.0,-0.296
did the cops find out why he flew into the us,his life sucked he was hoping a fighter jet would shoot him down,0.0,1.0,0.0,0.0
his life sucked he was hoping a fighter jet would shoot him down,poor guy,0.303,0.449,0.247,-0.25
the police need our help finding a robber,how do you know,0.319,0.442,0.239,-0.2263
how do you know,the tv news is reporting a bank robbery,0.0,1.0,0.0,0.0
the tv news is reporting a bank robbery,do they know what the robber looks like,0.0,1.0,0.0,0.0
do they know what the robber looks like,yes hes feet tall pounds black hair and about years old,0.298,0.496,0.207,-0.2732
yes hes feet tall pounds black hair and about years old,what race is he,0.0,0.816,0.184,0.4019
what race is he,they didnt say,0.0,1.0,0.0,0.0
they didnt say,the tv news doesnt tell us the race anymore,0.0,1.0,0.0,0.0
the tv news doesnt tell us the race anymore,of course not that would be racist,0.0,1.0,0.0,0.0
of course not that would be racist,but how can we identify someone if we dont know their race,0.4,0.6,0.0,-0.6124
but how can we identify someone if we dont know their race,dont ask me,0.0,1.0,0.0,0.0
dont ask me,then they also shouldnt tell us if the robber is male or female because that is sexist,0.0,1.0,0.0,0.0
dont wipe your nose on your sleeve,but i dont have a tissue,0.0,1.0,0.0,0.0
but i dont have a tissue,then go find a tissue in the bathroom,0.0,1.0,0.0,0.0
then go find a tissue in the bathroom,i didnt have time to get one from there,0.0,1.0,0.0,0.0
i didnt have time to get one from there,your sleeves are not tissues,0.0,1.0,0.0,0.0
your sleeves are not tissues,but mom all my friends use their sleeves,0.0,1.0,0.0,0.0
but mom all my friends use their sleeves,that doesnt make it right,0.0,0.628,0.372,0.631
that doesnt make it right,i saw dad wipe his nose on his sleeve yesterday,0.0,1.0,0.0,0.0
i saw dad wipe his nose on his sleeve yesterday,i will talk to your father about that,0.0,1.0,0.0,0.0
i will talk to your father about that,i bet dad did it all the time when he was my age,0.0,1.0,0.0,0.0
i bet dad did it all the time when he was my age,your daddy was a good little boy,0.0,1.0,0.0,0.0
your daddy was a good little boy,how do you know were you his mommy too,0.0,0.633,0.367,0.4404
im worried,worried about what,0.688,0.312,0.0,-0.296
worried about what,im getting married,0.524,0.476,0.0,-0.296
im getting married,you should be happy not worried,0.0,1.0,0.0,0.0
you should be happy not worried,i am happy but marriage is a lot of responsibility,0.0,0.417,0.583,0.6796
i am happy but marriage is a lot of responsibility,yes you have to take care of your wife,0.0,0.749,0.251,0.3291
yes you have to take care of your wife,and i have to take care of our children,0.0,0.543,0.457,0.7096
and i have to take care of our children,are you going to start a family,0.0,0.686,0.314,0.4939
are you going to start a family,yes we want to have a little boy and a little girl,0.0,1.0,0.0,0.0
yes we want to have a little boy and a little girl,that sounds wonderful,0.0,0.667,0.333,0.4588
that sounds wonderful,except we cant afford it,0.0,0.351,0.649,0.5719
except we cant afford it,no wonder youre worried,0.0,1.0,0.0,0.0
i dont get art,or artists,0.0,1.0,0.0,0.0
or artists,theyre in a different world,0.0,1.0,0.0,0.0
theyre in a different world,i saw a painting of a jar that was full of pencils,0.0,1.0,0.0,0.0
i saw a painting of a jar that was full of pencils,the artist said the jar was both full and empty,0.0,1.0,0.0,0.0
the artist said the jar was both full and empty,but it was full of pencils how could he say it was empty,0.167,0.833,0.0,-0.2023
but it was full of pencils how could he say it was empty,artists see things differently,0.172,0.828,0.0,-0.3595
artists see things differently,did you ever see anything that picasso painted,0.0,1.0,0.0,0.0
did you ever see anything that picasso painted,of course hes world famous,0.0,1.0,0.0,0.0
of course hes world famous,did he ever take art lessons,0.0,1.0,0.0,0.0
did he ever take art lessons,i cant believe it i drew paintings like that in third grade,0.0,1.0,0.0,0.0
i cant believe it i drew paintings like that in third grade,where are they maybe they are worth millions,0.0,0.783,0.217,0.3612
whats the point,the point of what,0.0,1.0,0.0,0.0
the point of what,of living,0.0,1.0,0.0,0.0
of living,who knows you live and then you die,0.0,1.0,0.0,0.0
who knows you live and then you die,we must be here for some reason,0.358,0.642,0.0,-0.5994
we must be here for some reason,maybe were here to have fun,0.0,1.0,0.0,0.0
maybe were here to have fun,then why arent i having fun,0.0,0.602,0.398,0.5106
then why arent i having fun,because youre thinking too much,0.403,0.597,0.0,-0.4023
because youre thinking too much,so i should stop thinking,0.0,1.0,0.0,0.0
so i should stop thinking,stop thinking about what the point is,0.452,0.548,0.0,-0.3566
stop thinking about what the point is,okay ill start thinking about having some fun,0.268,0.732,0.0,-0.296
okay ill start thinking about having some fun,just be patient fun doesnt come along every five minutes,0.0,0.536,0.464,0.6369
beer is a powerful drug,so are cigarettes,0.0,0.517,0.483,0.4215
so are cigarettes,which would you prefer,0.0,1.0,0.0,0.0
which would you prefer,what do you mean,0.0,1.0,0.0,0.0
what do you mean,when you die and go to heaven they will offer you beer or cigarettes,0.0,1.0,0.0,0.0
when you die and go to heaven they will offer you beer or cigarettes,i could pick only one or the other,0.203,0.625,0.172,-0.1531
i could pick only one or the other,yes nothings perfect not even in heaven,0.0,1.0,0.0,0.0
yes nothings perfect not even in heaven,boy thats a tough one,0.206,0.305,0.488,0.5716
boy thats a tough one,whats so tough about it of course i would pick cigarettes,0.333,0.667,0.0,-0.128
whats so tough about it of course i would pick cigarettes,but cigarettes taste much better when you have a cold beer,0.166,0.834,0.0,-0.2006
but cigarettes taste much better when you have a cold beer,well you cant have everything,0.0,0.7,0.3,0.5927
well you cant have everything,i dont think i want to go to your heaven,0.0,0.656,0.344,0.2732
my pants have a hole in the front pocket,you shouldnt carry pens in your pocket,0.0,1.0,0.0,0.0
you shouldnt carry pens in your pocket,yesterday a pen fell through my pants onto my shoe,0.0,1.0,0.0,0.0
yesterday a pen fell through my pants onto my shoe,lucky for you it wasnt a sharp knife,0.0,1.0,0.0,0.0
lucky for you it wasnt a sharp knife,who carries a sharp knife in their pocket,0.0,0.682,0.318,0.4215
who carries a sharp knife in their pocket,criminals of course,0.0,1.0,0.0,0.0
criminals of course,anyway i have to fix the hole,0.649,0.351,0.0,-0.5719
anyway i have to fix the hole,you can sew it up or use an ironon patch,0.0,1.0,0.0,0.0
